date	borough	n
587	2015-03-25	Staten Island	30
588	2015-03-25	Unknown	28
589	2015-03-26	Bronx	1013
590	2015-03-26	Brooklyn	10759
591	2015-03-26	EWR	2
592	2015-03-26	Manhattan	60107
593	2015-03-26	Queens	6610
594	2015-03-26	Staten Island	31
595	2015-03-26	Unknown	30
596	2015-03-27	Bronx	1202
597	2015-03-27	Brooklyn	12983
598	2015-03-27	EWR	0
599	2015-03-27	Manhattan	62198
600	2015-03-27	Queens	8505
601	2015-03-27	Staten Island	49
602	2015-03-27	Unknown	40
603	2015-03-28	Bronx	1562
604	2015-03-28	Brooklyn	17631
605	2015-03-28	EWR	0
606	2015-03-28	Manhattan	65149
607	2015-03-28	Queens	8094
608	2015-03-28	Staten Island	53
609	2015-03-28	Unknown	38
610	2015-03-29	Bronx	1154
611	2015-03-29	Brooklyn	14671
612	2015-03-29	EWR	0
613	2015-03-29	Manhattan	50464
614	2015-03-29	Queens	9294
615	2015-03-29	Staten Island	37
616	2015-03-29	Unknown	28
617	2015-03-30	Bronx	902
618	2015-03-30	Brooklyn	9233
619	2015-03-30	EWR	0
620	2015-03-30	Manhattan	44983
621	2015-03-30	Queens	7616
622	2015-03-30	Staten Island	26
623	2015-03-30	Unknown	20
624	2015-03-31	Bronx	971
625	2015-03-31	Brooklyn	10352
626	2015-03-31	EWR	1
627	2015-03-31	Manhattan	61207
628	2015-03-31	Queens	6315
629	2015-03-31	Staten Island	22
630	2015-03-31	Unknown	25
631	2015-04-01	Bronx	913
632	2015-04-01	Brooklyn	10176
633	2015-04-01	EWR	0
634	2015-04-01	Manhattan	52074
635	2015-04-01	Queens	6017
636	2015-04-01	Staten Island	22
637	2015-04-01	Unknown	21
638	2015-04-02	Bronx	1018
639	2015-04-02	Brooklyn	10803
640	2015-04-02	EWR	1
641	2015-04-02	Manhattan	55528
642	2015-04-02	Queens	6664
643	2015-04-02	Staten Island	30
644	2015-04-02	Unknown	25
645	2015-04-03	Bronx	1004
646	2015-04-03	Brooklyn	12729
647	2015-04-03	EWR	0
648	2015-04-03	Manhattan	55482
649	2015-04-03	Queens	6706
650	2015-04-03	Staten Island	36
651	2015-04-03	Unknown	26
652	2015-04-04	Bronx	1219
653	2015-04-04	Brooklyn	15246
654	2015-04-04	EWR	0
655	2015-04-04	Manhattan	46778
656	2015-04-04	Queens	5892
657	2015-04-04	Staten Island	32
658	2015-04-04	Unknown	22
659	2015-04-05	Bronx	1100
660	2015-04-05	Brooklyn	13358
661	2015-04-05	EWR	0
662	2015-04-05	Manhattan	36292
663	2015-04-05	Queens	7547
664	2015-04-05	Staten Island	35
665	2015-04-05	Unknown	25
666	2015-04-06	Bronx	992
667	2015-04-06	Brooklyn	8247
668	2015-04-06	EWR	1
669	2015-04-06	Manhattan	37407
670	2015-04-06	Queens	6860
671	2015-04-06	Staten Island	23
672	2015-04-06	Unknown	35
673	2015-04-07	Bronx	825
674	2015-04-07	Brooklyn	9419
675	2015-04-07	EWR	1
676	2015-04-07	Manhattan	52161
677	2015-04-07	Queens	5634
678	2015-04-07	Staten Island	23
679	2015-04-07	Unknown	16
680	2015-04-08	Bronx	943
681	2015-04-08	Brooklyn	10243
682	2015-04-08	EWR	0
